effect_type,comparison_label,outcome,model,rd_estimate,rd_SE,rd_LCL,rd_UCL,rd_z,rd_p,rd_p_fdr,rd_significant_fdr
Variable,thrombocytopenia,nerve_block_binary,gpt-5-2025-08-07 (Bayesian),-0.0013029706471139324,9.356292485081225e-4,-0.003136770277072128,5.308289828442631e-4,-1.3926142745019379,0.16373646410249215,0.2604898292539648,FALSE
Variable,stent,nerve_block_binary,gpt-5-2025-08-07 (Bayesian),-0.006545197745525755,0.0032518052227473834,-0.012918618866849873,-1.7177662420163765e-4,-2.0127889886331665,0.044136832823112364,0.08426122629866906,FALSE
Variable,obesity,nerve_block_binary,gpt-5-2025-08-07 (Bayesian),0,5.505839723541903e-4,-0.0010791247562792095,0.0010791247562792095,0,1,1,FALSE
Variable,lumbar_fusion,nerve_block_binary,gpt-5-2025-08-07 (Bayesian),0,5.505839723541947e-4,-0.001079124756279218,0.001079124756279218,0,1,1,FALSE
Variable,delirium,nerve_block_binary,gpt-5-2025-08-07 (Bayesian),0,5.505839723542075e-4,-0.001079124756279243,0.001079124756279243,0,1,1,FALSE
Variable,copd,nerve_block_binary,gpt-5-2025-08-07 (Bayesian),0,5.505839723541877e-4,-0.0010791247562792043,0.0010791247562792043,0,1,1,FALSE
Variable,aortic_stenosis,nerve_block_binary,gpt-5-2025-08-07 (Bayesian),0,5.505839723542182e-4,-0.0010791247562792641,0.0010791247562792641,0,1,1,FALSE
Variable,unhoused,nerve_block_binary,gpt-5-2025-08-07 (Bayesian),0,5.505839723541833e-4,-0.0010791247562791956,0.0010791247562791956,0,1,1,FALSE
Variable,undocumented,nerve_block_binary,gpt-5-2025-08-07 (Bayesian),0,5.505839723542064e-4,-0.001079124756279241,0.001079124756279241,0,1,1,FALSE
Variable,ivdu,nerve_block_binary,gpt-5-2025-08-07 (Bayesian),-7.154138717805347e-4,9.501122203222291e-4,-0.0025775996048834878,0.0011467718613224185,-0.7529782866469218,0.4514629620841299,0.8757046034264655,FALSE
Variable,white,nerve_block_binary,gpt-5-2025-08-07 (Bayesian),0,5.505839723541873e-4,-0.0010791247562792034,0.0010791247562792034,0,1,1,FALSE
Variable,pacific_islander,nerve_block_binary,gpt-5-2025-08-07 (Bayesian),0,5.505839723541975e-4,-0.0010791247562792236,0.0010791247562792236,0,1,1,FALSE
Variable,native_american,nerve_block_binary,gpt-5-2025-08-07 (Bayesian),0,5.505839723542039e-4,-0.001079124756279236,0.001079124756279236,0,1,1,FALSE
Variable,middle_eastern,nerve_block_binary,gpt-5-2025-08-07 (Bayesian),0,5.505839723542039e-4,-0.001079124756279236,0.001079124756279236,0,1,1,FALSE
Variable,hispanic,nerve_block_binary,gpt-5-2025-08-07 (Bayesian),0,5.505839723541804e-4,-0.00107912475627919,0.00107912475627919,0,1,1,FALSE
Variable,black,nerve_block_binary,gpt-5-2025-08-07 (Bayesian),-7.154138717805347e-4,9.501122203222405e-4,-0.0025775996048835103,0.0011467718613224409,-0.7529782866469127,0.45146296208413544,0.8757046034264655,FALSE
Variable,asian,nerve_block_binary,gpt-5-2025-08-07 (Bayesian),0,5.505839723542008e-4,-0.00107912475627923,0.00107912475627923,0,1,1,FALSE
Variable,thrombocytopenia,anesthetic_plan_binary,gpt-5-2025-08-07 (Bayesian),-0.6723499013522205,0.01937784249772208,-0.7103297747458455,-0.6343700279585955,-34.69684003424308,8.79199337258367e-264,7.101225416317578e-263,TRUE
Variable,stent,anesthetic_plan_binary,gpt-5-2025-08-07 (Bayesian),-0.9993267325098174,9.64795393929554e-4,-1.0012176967343696,-0.9974357682852654,-1035.7913592846037,0,0,TRUE
Variable,obesity,anesthetic_plan_binary,gpt-5-2025-08-07 (Bayesian),2.220446049250313e-16,9.551403689715979e-4,-0.0018720407233644078,0.001872040723364852,2.324732700431323e-13,0.9999999999998145,1,FALSE
Variable,lumbar_fusion,anesthetic_plan_binary,gpt-5-2025-08-07 (Bayesian),-0.2641018864310639,0.018168188265989052,-0.29971088109674565,-0.22849289176538218,-14.536500974368705,7.1136990195446e-48,2.766438507600678e-47,TRUE
Variable,delirium,anesthetic_plan_binary,gpt-5-2025-08-07 (Bayesian),-3.3306690738754696e-16,9.551403689723466e-4,-0.0018720407233664303,0.0018720407233657642,-3.487099050644251e-13,0.9999999999997218,1,FALSE
Variable,copd,anesthetic_plan_binary,gpt-5-2025-08-07 (Bayesian),-1.1102230246251565e-16,9.551403689720771e-4,-0.00187204072336568,0.001872040723365458,-1.1623663502150783e-13,0.9999999999999073,1,FALSE
Variable,aortic_stenosis,anesthetic_plan_binary,gpt-5-2025-08-07 (Bayesian),-0.4171046569775517,0.020444937311736563,-0.4571759977747345,-0.37703331618036895,-20.40136639294608,1.6260790683966836e-92,8.986226430613252e-92,TRUE
Variable,unhoused,anesthetic_plan_binary,gpt-5-2025-08-07 (Bayesian),-1.1102230246251565e-16,9.551403689721336e-4,-0.0018720407233657908,0.0018720407233655688,-1.1623663502150096e-13,0.9999999999999073,1,FALSE
Variable,undocumented,anesthetic_plan_binary,gpt-5-2025-08-07 (Bayesian),-1.1102230246251565e-16,9.55140368972057e-4,-0.0018720407233656406,0.0018720407233654185,-1.1623663502151028e-13,0.9999999999999073,1,FALSE
Variable,ivdu,anesthetic_plan_binary,gpt-5-2025-08-07 (Bayesian),-1.1102230246251565e-16,9.551403689720984e-4,-0.0018720407233657217,0.0018720407233654996,-1.1623663502150526e-13,0.9999999999999073,1,FALSE
Variable,white,anesthetic_plan_binary,gpt-5-2025-08-07 (Bayesian),-1.1102230246251565e-16,9.551403689721238e-4,-0.0018720407233657717,0.0018720407233655497,-1.1623663502150215e-13,0.9999999999999073,1,FALSE
Variable,pacific_islander,anesthetic_plan_binary,gpt-5-2025-08-07 (Bayesian),-2.220446049250313e-16,9.551403689722164e-4,-0.001872040723366064,0.00187204072336562,-2.324732700429818e-13,0.9999999999998145,1,FALSE
Variable,native_american,anesthetic_plan_binary,gpt-5-2025-08-07 (Bayesian),-1.1102230246251565e-16,9.551403689720736e-4,-0.0018720407233656733,0.0018720407233654513,-1.1623663502150826e-13,0.9999999999999073,1,FALSE
Variable,middle_eastern,anesthetic_plan_binary,gpt-5-2025-08-07 (Bayesian),-2.220446049250313e-16,9.551403689722224e-4,-0.0018720407233660758,0.0018720407233656317,-2.324732700429803e-13,0.9999999999998145,1,FALSE
Variable,hispanic,anesthetic_plan_binary,gpt-5-2025-08-07 (Bayesian),-2.220446049250313e-16,9.551403689720482e-4,-0.0018720407233657344,0.0018720407233652904,-2.3247327004302273e-13,0.9999999999998145,1,FALSE
Variable,black,anesthetic_plan_binary,gpt-5-2025-08-07 (Bayesian),-1.1102230246251565e-16,9.551403689721283e-4,-0.0018720407233657804,0.0018720407233655584,-1.162366350215016e-13,0.9999999999999073,1,FALSE
Variable,asian,anesthetic_plan_binary,gpt-5-2025-08-07 (Bayesian),-2.220446049250313e-16,9.551403689722078e-4,-0.0018720407233660471,0.001872040723365603,-2.3247327004298385e-13,0.9999999999998145,1,FALSE
Variable,thrombocytopenia,arterial_line_binary,gpt-5-2025-08-07 (Bayesian),0.002138871274612386,8.573355578660544e-4,4.585244585293643e-4,0.0038192180906954074,2.49478894814083,0.012603206721895662,0.02756951470414676,TRUE
Variable,stent,arterial_line_binary,gpt-5-2025-08-07 (Bayesian),0.163992565617461,0.04383871733308357,0.07807025851618543,0.24991487271873658,3.7408157809786435,1.83423930674001e-4,4.3771619819932056e-4,TRUE
Variable,obesity,arterial_line_binary,gpt-5-2025-08-07 (Bayesian),5.928892556042493e-4,3.0124435005949256e-4,2.4611789414675893e-6,0.001183317332267031,1.9681340263714822,0.04905261869750012,0.09197366005781273,FALSE
Variable,lumbar_fusion,arterial_line_binary,gpt-5-2025-08-07 (Bayesian),2.050934332579606e-4,1.6528103920457866e-4,-1.1885145091036618e-4,5.290383174262874e-4,1.2408769586939954,0.2146512057757989,0.3219768086636984,FALSE
Variable,delirium,arterial_line_binary,gpt-5-2025-08-07 (Bayesian),3.1173996217440157e-4,2.013488726293423e-4,-8.289657650685186e-5,7.06376500855655e-4,1.5482577980373162,0.12156024073595585,0.2026004012265931,FALSE
Variable,copd,arterial_line_binary,gpt-5-2025-08-07 (Bayesian),2.0509343325796748e-4,1.6528103920458167e-4,-1.188514509103652e-4,5.290383174263002e-4,1.2408769586940145,0.2146512057757918,0.3219768086636984,FALSE
Variable,aortic_stenosis,arterial_line_binary,gpt-5-2025-08-07 (Bayesian),0.9992210486860076,4.691707730080016e-4,0.9983014908683131,1.0001406065037022,2129.7597936028424,0,0,TRUE
Variable,unhoused,arterial_line_binary,gpt-5-2025-08-07 (Bayesian),1.0135999380210657e-4,1.3249010887075944e-4,-1.583158478923726e-4,3.610358354965857e-4,0.7650381954246904,0.44424880071792094,0.8757046034264655,FALSE
Variable,undocumented,arterial_line_binary,gpt-5-2025-08-07 (Bayesian),1.528863607948722e-4,1.4839335656447936e-4,-1.3795927361651768e-4,4.4373199520626207e-4,1.0302776642729323,0.30287968096209306,0.8112848597198921,FALSE
Variable,ivdu,arterial_line_binary,gpt-5-2025-08-07 (Bayesian),1.013599938021124e-4,1.324901088707581e-4,-1.5831584789236414e-4,3.6103583549658896e-4,0.765038195424742,0.44424880071789025,0.8757046034264655,FALSE
Variable,white,arterial_line_binary,gpt-5-2025-08-07 (Bayesian),2.5803160004821016e-4,1.8297378494326613e-4,-1.0059042855556854e-4,6.166536286519889e-4,1.4102107584877084,0.15847746001738744,0.7113026787701072,FALSE
Variable,pacific_islander,arterial_line_binary,gpt-5-2025-08-07 (Bayesian),2.580316000482238e-4,1.82973784943272e-4,-1.0059042855556642e-4,6.166536286520141e-4,1.4102107584877377,0.1584774600173788,0.7113026787701072,FALSE
Variable,native_american,arterial_line_binary,gpt-5-2025-08-07 (Bayesian),2.580316000482318e-4,1.8297378494327657e-4,-1.005904285555674e-4,6.16653628652031e-4,1.4102107584877461,0.15847746001737628,0.7113026787701072,FALSE
Variable,middle_eastern,arterial_line_binary,gpt-5-2025-08-07 (Bayesian),3.1173996217440954e-4,2.0134887262934434e-4,-8.28965765068479e-5,7.063765008556669e-4,1.5482577980373402,0.12156024073595008,0.7113026787701072,FALSE
Variable,hispanic,arterial_line_binary,gpt-5-2025-08-07 (Bayesian),1.0135999380212091e-4,1.3249010887076378e-4,-1.5831584789236674e-4,3.610358354966086e-4,0.7650381954247736,0.4442488007178713,0.8757046034264655,FALSE
Variable,black,arterial_line_binary,gpt-5-2025-08-07 (Bayesian),5.0440910788828496e-5,1.178347712326154e-4,-1.8051099695361406e-4,2.81392818531271e-4,0.42806474066346717,0.6686039864980063,0.9657363147056842,FALSE
Variable,asian,arterial_line_binary,gpt-5-2025-08-07 (Bayesian),1.0135999380212983e-4,1.324901088707663e-4,-1.5831584789236278e-4,3.610358354966224e-4,0.7650381954248263,0.44424880071784006,0.8757046034264655,FALSE
Variable,thrombocytopenia,nerve_block_binary,gpt-5-mini-2025-08-07 (Bayesian),-0.2601156209703229,0.019053473350464804,-0.29745974251762763,-0.22277149942301822,-13.651874185132627,1.9675240553552976e-42,6.886334193743542e-42,TRUE
Variable,stent,nerve_block_binary,gpt-5-mini-2025-08-07 (Bayesian),-0.6345727937570097,0.020765524441370184,-0.6752724737821815,-0.5938731137318379,-30.558958216955983,4.299347212675951e-205,3.224510409506963e-204,TRUE
Variable,obesity,nerve_block_binary,gpt-5-mini-2025-08-07 (Bayesian),-0.012384952147044714,0.007100334469831565,-0.026301351986102874,0.0015314476920134466,-1.7442772871710241,0.08111075016830732,0.1396168650438077,FALSE
Variable,lumbar_fusion,nerve_block_binary,gpt-5-mini-2025-08-07 (Bayesian),-0.008233564895277934,0.00668575682666354,-0.021337407484931268,0.0048702776943754,-1.2315082807740725,0.21813282148948296,0.32259079234360155,FALSE
Variable,delirium,nerve_block_binary,gpt-5-mini-2025-08-07 (Bayesian),-0.02076074097927738,0.007878511009842113,-0.03620233881037021,-0.005319143148184553,-2.635109724837896,0.008411008871675119,0.018790551734593347,TRUE
Variable,copd,nerve_block_binary,gpt-5-mini-2025-08-07 (Bayesian),-0.002734753332531037,0.006099402694156496,-0.01468936294028434,0.009219856275222265,-0.4483641218100019,0.6538904307079767,0.8372987222480189,FALSE
Variable,aortic_stenosis,nerve_block_binary,gpt-5-mini-2025-08-07 (Bayesian),0.005445233082104317,0.005121837978094131,-0.004593384889609626,0.01548385105381826,1.063140440090712,0.28771826751911833,0.4082488931014517,FALSE
Variable,unhoused,nerve_block_binary,gpt-5-mini-2025-08-07 (Bayesian),-0.004105686957234678,0.006250063093749513,-0.016355585522086706,0.00814421160761735,-0.6569032817189707,0.5112431079638238,0.8985029143403616,FALSE
Variable,undocumented,nerve_block_binary,gpt-5-mini-2025-08-07 (Bayesian),0.001364041767977997,0.005628176416410418,-0.009666981306824125,0.012395064842780119,0.24235945483172439,0.808501648301581,1,FALSE
Variable,ivdu,nerve_block_binary,gpt-5-mini-2025-08-07 (Bayesian),-0.015165963340912358,0.0073666531453481544,-0.029604338192393442,-7.275884894312728e-4,-2.0587318340743734,0.03951993486767628,0.4605735316423479,FALSE
Variable,white,nerve_block_binary,gpt-5-mini-2025-08-07 (Bayesian),-0.008233564895277379,0.006685756826663329,-0.0213374074849303,0.004870277694375542,-1.231508280774028,0.21813282148949956,0.7113026787701072,FALSE
Variable,pacific_islander,nerve_block_binary,gpt-5-mini-2025-08-07 (Bayesian),-0.010998493031996515,0.006964264748568085,-0.02464820111799185,0.002651215053998821,-1.5792755486870174,0.11427286775392602,0.7113026787701072,FALSE
Variable,native_american,nerve_block_binary,gpt-5-mini-2025-08-07 (Bayesian),-0.020760740979275716,0.007878511009841924,-0.036202338810368176,-0.005319143148183259,-2.6351097248377475,0.008411008871678796,0.2622541966938917,FALSE
Variable,middle_eastern,nerve_block_binary,gpt-5-mini-2025-08-07 (Bayesian),-0.01238495214704527,0.007100334469831449,-0.026301351986103203,0.0015314476920126642,-1.744277287171131,0.08111075016828873,0.7113026787701072,FALSE
Variable,hispanic,nerve_block_binary,gpt-5-mini-2025-08-07 (Bayesian),-0.006855041048306698,0.006543064969405809,-0.01967921273684775,0.005969130640234353,-1.0476804189412199,0.29478587208162704,0.8039614693135282,FALSE
Variable,black,nerve_block_binary,gpt-5-mini-2025-08-07 (Bayesian),-0.0013662227814572603,0.0059456986352613966,-0.013019577969498545,0.010287132406584024,-0.22978338884429444,0.8182600931594015,1,FALSE
Variable,asian,nerve_block_binary,gpt-5-mini-2025-08-07 (Bayesian),-0.006855041048307253,0.006543064969405925,-0.01967921273684853,0.005969130640234025,-1.0476804189412863,0.2947858720815965,0.8039614693135282,FALSE
Variable,thrombocytopenia,anesthetic_plan_binary,gpt-5-mini-2025-08-07 (Bayesian),-0.9279793035904207,0.009498196323665276,-0.9465954263028954,-0.909363180877946,-97.70058145442935,0,0,TRUE
Variable,stent,anesthetic_plan_binary,gpt-5-mini-2025-08-07 (Bayesian),-0.9935781925298911,0.002409827922628336,-0.9983013684671816,-0.9888550165926006,-412.30254791230965,0,0,TRUE
Variable,obesity,anesthetic_plan_binary,gpt-5-mini-2025-08-07 (Bayesian),-0.011034545102467153,0.004697811741110016,-0.020242086921192184,-0.0018270032837421207,-2.3488691566554496,0.0188305226226647,0.03954409750759587,TRUE
Variable,lumbar_fusion,anesthetic_plan_binary,gpt-5-mini-2025-08-07 (Bayesian),-0.3732535871917195,0.022412965557532874,-0.4171821924712206,-0.32932498191221843,-16.65346721894511,2.855671454139038e-62,1.3036760986286912e-61,TRUE
Variable,delirium,anesthetic_plan_binary,gpt-5-mini-2025-08-07 (Bayesian),-0.03098428426840205,0.007005044589612422,-0.04471391937413956,-0.017254649162664545,-4.423138764076927,9.727721729038402e-6,2.4319304322596005e-5,TRUE
Variable,copd,anesthetic_plan_binary,gpt-5-mini-2025-08-07 (Bayesian),0.004274633550119256,0.0026167895115590096,-8.541796476585605e-4,0.009403446747897072,1.6335412272317422,0.10235521727483123,0.1733435131267303,FALSE
Variable,aortic_stenosis,anesthetic_plan_binary,gpt-5-mini-2025-08-07 (Bayesian),-0.45974359779302054,0.022899723833336567,-0.5046262317622737,-0.41486096382376736,-20.076381756348646,1.1873451084387606e-89,5.936725542193803e-89,TRUE
Variable,unhoused,anesthetic_plan_binary,gpt-5-mini-2025-08-07 (Bayesian),0.0025850715994335527,0.0028676315381451563,-0.00303538293626215,0.008205526135129256,0.9014657444818139,0.3673407392663672,0.8757046034264655,FALSE
Variable,undocumented,anesthetic_plan_binary,gpt-5-mini-2025-08-07 (Bayesian),0.0017305362769403088,0.0029917839462476545,-0.004133252507230209,0.007594325061110826,0.5784295617705872,0.5629741403716813,0.9014208075955409,FALSE
Variable,ivdu,anesthetic_plan_binary,gpt-5-mini-2025-08-07 (Bayesian),0.0025850715994334417,0.0028676315381452547,-0.0030353829362624535,0.008205526135129336,0.9014657444817443,0.3673407392664041,0.8757046034264655,FALSE
Variable,white,anesthetic_plan_binary,gpt-5-mini-2025-08-07 (Bayesian),0.0017305362769408639,0.002991783946247551,-0.004133252507229451,0.0075943250611111785,0.5784295617707927,0.5629741403715425,0.9014208075955409,FALSE
Variable,pacific_islander,anesthetic_plan_binary,gpt-5-mini-2025-08-07 (Bayesian),0.003432876551253905,0.0027427065690630607,-0.0019427295442711106,0.008808482646778922,1.2516382867842162,0.21070169680137654,0.7113026787701072,FALSE
Variable,native_american,anesthetic_plan_binary,gpt-5-mini-2025-08-07 (Bayesian),0.0025850715994328866,0.002867631538145295,-0.0030353829362630884,0.00820552613512886,0.901465744481538,0.36734073926651384,0.8757046034264655,FALSE
Variable,middle_eastern,anesthetic_plan_binary,gpt-5-mini-2025-08-07 (Bayesian),0.0017305362769401977,0.0029917839462477434,-0.004133252507230494,0.00759432506111089,0.5784295617705328,0.5629741403717179,0.9014208075955409,FALSE
Variable,hispanic,anesthetic_plan_binary,gpt-5-mini-2025-08-07 (Bayesian),-0.0026519673414971967,0.003605272080783863,-0.009718170774301347,0.004414236091306953,-0.7355803617796863,0.4619861174721238,0.8757046034264655,FALSE
Variable,black,anesthetic_plan_binary,gpt-5-mini-2025-08-07 (Bayesian),0.003432876551254349,0.002742706569062998,-0.0019427295442705434,0.00880848264677924,1.251638286784407,0.210701696801307,0.7113026787701072,FALSE
Variable,asian,anesthetic_plan_binary,gpt-5-mini-2025-08-07 (Bayesian),8.689189686291732e-4,0.00311531669803515,-0.005236989559955962,0.006974827497214308,0.27891834213106037,0.7803074919358763,1,FALSE
Variable,thrombocytopenia,arterial_line_binary,gpt-5-mini-2025-08-07 (Bayesian),0.11510869073096046,0.015065516919868608,0.08558082015953919,0.14463656130238173,7.6405404038379565,2.1631190134485782e-14,6.680220482708845e-14,TRUE
Variable,stent,arterial_line_binary,gpt-5-mini-2025-08-07 (Bayesian),0.6466062247647224,0.030312197360825948,0.5871954096452335,0.7060170398842113,21.33155234731896,5.785572228211701e-101,3.374917133123492e-100,TRUE
Variable,obesity,arterial_line_binary,gpt-5-mini-2025-08-07 (Bayesian),0.0793384304003852,0.011443164997565855,0.056910239136006756,0.10176662166476363,6.9332593226840435,4.112533135046e-12,1.2337599405138e-11,TRUE
Variable,lumbar_fusion,arterial_line_binary,gpt-5-mini-2025-08-07 (Bayesian),0.014984317288866195,0.0038479192983515093,0.0074425340486806045,0.022526100529051785,3.8941350187062502,9.854975012501356e-5,2.4064473867735868e-4,TRUE
Variable,delirium,arterial_line_binary,gpt-5-mini-2025-08-07 (Bayesian),0.002615587672614411,0.002402267132377481,-0.0020927693880897647,0.007323944733318587,1.088799674841245,0.2762422350538252,0.3973347216527623,FALSE
Variable,copd,arterial_line_binary,gpt-5-mini-2025-08-07 (Bayesian),0.007089471243506989,0.002903109006070591,0.0013994821484147593,0.012779460338599218,2.4420272296639363,0.014605044983736049,0.031296524965148675,TRUE
Variable,aortic_stenosis,arterial_line_binary,gpt-5-mini-2025-08-07 (Bayesian),0.9904474965066242,0.002101626244754253,0.9863283847579417,0.9945666082553067,471.27670725411934,0,0,TRUE
Variable,unhoused,arterial_line_binary,gpt-5-mini-2025-08-07 (Bayesian),-0.004107336816993152,0.001783697887310145,-0.007603320435421218,-6.113531985650848e-4,-2.302708797388948,0.021295232886744994,0.3549205481124166,FALSE
Variable,undocumented,arterial_line_binary,gpt-5-mini-2025-08-07 (Bayesian),-0.0017664737567813444,0.001970899969281452,-0.005629366713704087,0.002096419200141399,-0.8962777331745371,0.3701044484276587,0.8757046034264655,FALSE
Variable,ivdu,arterial_line_binary,gpt-5-mini-2025-08-07 (Bayesian),5.204170427930421e-18,0.0021347295271391528,-0.004183992989926953,0.004183992989926963,2.437859392381556e-15,0.999999999999998,1,FALSE
Variable,white,arterial_line_binary,gpt-5-mini-2025-08-07 (Bayesian),-0.0014196953081126772,0.0020017399227106832,-0.005343033463041606,0.002503642846816252,-0.7092306507981204,0.47818135572408743,0.878618463254602,FALSE
Variable,pacific_islander,arterial_line_binary,gpt-5-mini-2025-08-07 (Bayesian),-0.002110071302615657,0.0019410538358456155,-0.005914466912926384,0.00169432430769507,-1.0870751051046503,0.277003618923129,0.7839725063862142,FALSE
Variable,native_american,arterial_line_binary,gpt-5-mini-2025-08-07 (Bayesian),-0.001766473756781274,0.0019708999692814536,-0.005629366713704021,0.0020964192001414724,-0.8962777331745005,0.3701044484276782,0.8757046034264655,FALSE
Variable,middle_eastern,arterial_line_binary,gpt-5-mini-2025-08-07 (Bayesian),0.00666333402910353,0.002853801889197965,0.0010699851072631548,0.012256682950943905,2.334897196026526,0.01954879187724743,0.3549205481124166,FALSE
Variable,hispanic,arterial_line_binary,gpt-5-mini-2025-08-07 (Bayesian),-0.003122196622641015,0.0018576322348867467,-0.006763088899539688,5.186956542576576e-4,-1.6807399031979893,0.09281344625229129,0.7113026787701072,FALSE
Variable,black,arterial_line_binary,gpt-5-mini-2025-08-07 (Bayesian),-0.0027878886183747673,0.001884404747505213,-0.006481254055781278,9.054768190317431e-4,-1.4794531918186302,0.13901923275471695,0.7113026787701072,FALSE
Variable,asian,arterial_line_binary,gpt-5-mini-2025-08-07 (Bayesian),-3.5988626874178514e-4,0.002100068203426217,-0.004475944312534905,0.0037561717750513347,-0.1713688479996213,0.863933748107812,1,FALSE
Variable,thrombocytopenia,nerve_block_binary,gpt-5-nano-2025-08-07 (Bayesian),-0.0028014192761316604,0.0030782563294819757,-0.008834690817098794,0.0032318522648354725,-0.9100669262988561,0.362787215528971,0.5079021017405594,FALSE
Variable,stent,nerve_block_binary,gpt-5-nano-2025-08-07 (Bayesian),-0.004078306752040739,0.0032433665565676432,-0.01043518839157501,0.002278574887493531,-1.2574301056975465,0.20859793344719368,0.3219768086636984,FALSE
Variable,obesity,nerve_block_binary,gpt-5-nano-2025-08-07 (Bayesian),2.7929047963226594e-16,0.004067819683048877,-0.007972780074378655,0.007972780074379213,6.865852013945085e-14,0.9999999999999453,1,FALSE
Variable,lumbar_fusion,nerve_block_binary,gpt-5-nano-2025-08-07 (Bayesian),2.2724877535296173e-16,0.004067819683048858,-0.00797278007437867,0.007972780074379125,5.586500706998823e-14,0.9999999999999555,1,FALSE
Variable,delirium,nerve_block_binary,gpt-5-nano-2025-08-07 (Bayesian),-0.0014153451781426917,0.0037949958955529333,-0.008853400454903768,0.006022710098618384,-0.3729503844262986,0.709185371520523,0.8864817144006537,FALSE
Variable,copd,nerve_block_binary,gpt-5-nano-2025-08-07 (Bayesian),2.3245294578089215e-16,0.004067819683048938,-0.007972780074378821,0.007972780074379286,5.71443583769334e-14,0.9999999999999544,1,FALSE
Variable,aortic_stenosis,nerve_block_binary,gpt-5-nano-2025-08-07 (Bayesian),-0.00535490318173657,0.002981181200856935,-0.01119791096680403,4.881046033308901e-4,-1.796235391594886,0.07245708825684379,0.1289490553723491,FALSE
Variable,unhoused,nerve_block_binary,gpt-5-nano-2025-08-07 (Bayesian),-0.005354903181736585,0.002981181200856935,-0.011197910966804045,4.8810460333087446e-4,-1.7962353915948914,0.07245708825684292,0.7039030299646668,FALSE
Variable,undocumented,nerve_block_binary,gpt-5-nano-2025-08-07 (Bayesian),-0.0027797085525393408,0.0035176268841074394,-0.00967413055643977,0.004114713451361088,-0.7902226825414608,0.4293977314791905,0.8757046034264655,FALSE
Variable,ivdu,nerve_block_binary,gpt-5-nano-2025-08-07 (Bayesian),-0.004078306752040734,0.00324336655656767,-0.010435188391575057,0.0022785748874935893,-1.2574301056975346,0.208597933447198,0.7113026787701072,FALSE
Variable,white,nerve_block_binary,gpt-5-nano-2025-08-07 (Bayesian),-0.0027797085525392406,0.0035176268841074936,-0.009674130556439776,0.0041147134513612954,-0.79022268254142,0.42939773147921434,0.8757046034264655,FALSE
Variable,pacific_islander,nerve_block_binary,gpt-5-nano-2025-08-07 (Bayesian),-0.004078306752040806,0.0032433665565676246,-0.01043518839157504,0.002278574887493428,-1.2574301056975743,0.20859793344718364,0.7113026787701072,FALSE
Variable,native_american,nerve_block_binary,gpt-5-nano-2025-08-07 (Bayesian),-0.0027797085525393035,0.003517626884107485,-0.009674130556439823,0.004114713451361215,-0.7902226825414399,0.42939773147920274,0.8757046034264655,FALSE
Variable,middle_eastern,nerve_block_binary,gpt-5-nano-2025-08-07 (Bayesian),0.0074328503539696595,0.005300477296521318,-0.002955894248084353,0.017821594956023673,1.4022983097857638,0.16082618493885784,0.7113026787701072,FALSE
Variable,hispanic,nerve_block_binary,gpt-5-nano-2025-08-07 (Bayesian),-0.0027797085525392952,0.003517626884107464,-0.009674130556439772,0.004114713451361183,-0.7902226825414422,0.4293977314792014,0.8757046034264655,FALSE
Variable,black,nerve_block_binary,gpt-5-nano-2025-08-07 (Bayesian),-0.004078306752040708,0.0032433665565676506,-0.010435188391574993,0.002278574887493577,-1.257430105697534,0.20859793344719815,0.7113026787701072,FALSE
